CAM.x	participantCAM.x	id	text	value	comment	date.x	x_pos	y_pos	isDraggable	isDeletable.x	isTextChangeable	isActive.x	CAM.y	participantCAM.y	id.y	date.y	idending	intensity	agreement	isBidirectional	isDeletable.y	isActive.y
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	773084f1-2657-4ca4-ba25-dd8b4e596c78	2022-12-30T21:06:12Z	103b01c5-c475-4a9f-b7cd-2aa15f29f1d0	9	0	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	dd0487c2-ac36-4ba4-b07f-ef4abb8e511b	2022-12-30T21:06:25Z	f12ca355-e490-4e5c-979b-562ad4ebf266	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	2fe36b49-9c64-429b-b2aa-cc1b022ce33f	2022-12-30T21:06:27Z	8197f530-460b-42eb-9b25-abea1cc2b1e5	3	0	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	2b0cd1c4-02c2-4e08-bc05-6b54df46d5dd	2022-12-30T21:06:28Z	e178f31d-5ff8-45ec-8ec3-c8a974195f79	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	5fb0bebf-98e7-469e-9479-2ca58c3fec2d	2022-12-30T21:06:30Z	048a7347-67cb-4bcb-8bf7-1611c3f163f4	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	0e4de300-9e5e-43f1-91ef-6fd00737361e	2022-12-30T21:06:32Z	6dc7d9a0-8240-4260-96bc-fe39563f605c	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	cc124151-57dc-4a0f-9514-d91e8cc11061	2022-12-30T21:06:36Z	282ad8a9-b7d8-46c8-b5ba-748a204f864d	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	68baedfd-acfe-4528-afb5-432789e480c2	2022-12-30T21:06:39Z	b3d884b7-0d0d-403d-b09e-d4497ea9f117	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	23ae2d3e-214f-4f9f-beb4-0406ea501c0b	Bedingungsloses Grundeinkommen	0		2022-12-30T20:44:57Z	641	371	1	0	0	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	b8afe4ce-cd93-4af2-bd2e-7d53abe42199	2022-12-30T21:06:41Z	ea2dea6b-c16a-47ae-89b5-26fbd8f587a7	3	1	0	1	TRUE
ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	6dc7d9a0-8240-4260-96bc-fe39563f605c	Armutsbekämpfung	3		2022-12-30T20:51:49Z	814	289	1	1	1	TRUE	ee1a72b1-4d8b-4d7d-bc73-4fee97916be7	20629	0b74f106-1b05-4bad-9733-4a15cc5fca48	2022-12-30T21:06:01Z	1918dcf5-267a-4e58-9f53-995179111087	3	0	1	1	TRUE
